,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service
0,ABHA4A-EXET41,,0,109,48.785,0.025516039766321615,0.3224269755047658,1.0,0.0,2.9993346476935447,1.0,1,,True
1,ABHA4A-LAGA41,,0,201,26.121,0.02554266681980016,0.3079208299835382,1.0,0.0,3.3587351901746287,1.0,1,,True
2,ABHA4B-EXET41,,1,109,49.051,0.025540763694929764,0.32243990948196777,1.0,0.0,1.8532943636373973,1.0,1,,True
3,ABHA4B-LAGA41,,1,201,26.121,0.02554266681980016,0.3079208299835382,1.0,0.0,1.8532943636373973,1.0,1,,True
4,ABTH21-COWT2A,,2,78,13.318,0.028562377984682384,0.30941629749211597,1.0,0.0,1.8454214054231348,1.0,1,,True
5,ABTH21-PYLE21,,2,292,35.388,0.03887246382954675,0.31035997371990504,1.0,0.0,1.8454214054231348,1.0,1,,True
6,ABTH21-TREM21,,2,397,46.451,0.03690811285010011,0.34829080644119603,1.0,0.0,1.3205575244723,1.0,1,,True
7,ABTH21-UPPB21,,2,402,26.996,0.03456854719217662,0.32008121573566456,1.0,0.0,1.8517197719945448,1.0,1,,True
8,ABTH21-UPPB22,,2,403,27.582,0.03413571350881009,0.3179145366543397,1.0,0.0,1.6207796643761776,1.0,1,,True
9,ALDW21-BRIN21,,3,37,17.961,0.06071557819720506,0.3211778297422193,1.0,0.0,1.2407782145677733,1.0,1,,True
10,ALDW21-WMEL21,,3,447,8.96,0.034520786830357135,0.3284116908482142,1.0,0.0,1.8517197719945448,1.0,1,,True
11,ALVE4A-INDQ41,,4,169,97.176,0.03492220301308965,0.318877088993167,1.0,0.0,1.8532943636373973,1.0,1,,True
12,ALVE4A-TAUN41,,4,369,73.293,0.025541320453522164,0.32243188299019004,1.0,0.0,1.8532943636373973,1.0,1,,True
13,ALVE4B-INDQ41,,5,169,97.294,0.03491273870947849,0.3188850288815343,1.0,0.0,1.8532943636373973,1.0,1,,True
14,ALVE4B-TAUN42,,5,370,73.298,0.02553957816038637,0.3224317171000573,1.0,0.0,1.8532943636373973,1.0,1,,True
15,AMEM4A-ECLA41,,6,99,35.315,0.029086790315729857,0.31832365850205296,1.0,0.0,2.758290910366874,1.0,1,,True
16,AMEM4A-IVER4A,,6,175,20.256,0.029067930489731438,0.31832543443917855,1.0,0.0,2.758290910366874,1.0,1,,True
17,AMEM4B-ECLA41,,7,99,35.315,0.029086790315729857,0.31832365850205296,1.0,0.0,2.7900451751643995,1.0,1,,True
18,AMEM4B-IVER4B,,7,176,20.256,0.029067930489731438,0.31832543443917855,1.0,0.0,2.7900451751643995,1.0,1,,True
19,AXMI41-CHIC4A,,8,61,39.5,0.015351898734177217,0.26770632911392406,1.0,0.0,3.7065887272747946,1.0,1,,True
20,AXMI41-EXET41,,8,109,36.184,0.017864249391996465,0.3057705063011276,1.0,0.0,3.7065887272747946,1.0,1,,True
21,BAGB21-MAGA21,,9,221,14.017999999999999,0.02346759523469824,0.2813953488372093,1.0,0.0,2.340892909040723,1.0,1,,True
22,BAGB21-SWAN21,,9,363,19.649,0.024054977352537022,0.2881978726652756,1.0,0.0,3.2499571508475684,1.0,1,,True
23,BARK21-REBR22,,10,301,10.879,0.028570525783619818,0.309409757330637,1.0,0.0,2.2695114212314094,1.0,1,,True
24,BARK22-REBR21,,11,300,10.854,0.02856665745347338,0.3094256725631104,1.0,0.0,2.366086375326363,1.0,1,,True
25,BARK41-CHUE4A,,12,65,13.654,0.024959718763732236,0.3080708949758313,1.0,0.0,4.399409050129896,1.0,1,,True
26,BARK41-CHUE4B,,12,66,13.654,0.024959718763732236,0.3080708949758313,1.0,0.0,4.399409050129896,1.0,1,,True
27,BARK41-WHAM41,,12,421,9.786000000000001,0.025505824647455544,0.31310034743511134,1.0,0.0,2.7554041590216443,1.0,1,,True
28,BARK41-WHAM41,,12,421,9.662,0.025667563651417924,0.31629062305940797,1.0,0.0,2.758290910366874,1.0,1,,True
29,BARK41-WTHU4A,,12,448,15.872,0.02913306451612903,0.3183467741935484,1.0,0.0,2.758290910366874,1.0,1,,True
30,BARK41-WTHU4B,,12,449,15.872,0.02913306451612903,0.3183467741935484,1.0,0.0,2.758290910366874,1.0,1,,True
